"Suite name","Test name","Test number","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl_typ","Usl_typ","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_105_DEG","TEMP_100_DEG","TEMP_100_DEG","TEMP_N40_DEG","TEMP_N40_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_0_DEG","","","","","","","","","","",""
"DieIDPreRead_st","devX","80000","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devY","80001","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devWaf","80002","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devLot","80003","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devFab","80004","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devDesRev","80005","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devMemRepair","80006","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","DIEID_PostRead","80060","1","1","1","1","1","1","1","1","1","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","devSuccess","80007","1","1","1","1","1","1","1","1","1","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","DIEID_FABCODE","80008","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_st","DIEID_DESIGNREV","80009","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devX","80010","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
