"CtlrNum","CtlrField","CtlrValue","PatNum","VC_VsnmLV","VC_VtripLV","VC_VsnmHV","VC_VtripHV","VC_VreadLV","VC_VminNSp","VC_Vskew3","VC_Vskew2","VC_Vskew1","VC_VskewPhi","Suite name","Test name"
"1","bistType","PBIST"
"1","repairableRam","TRUE"
"1","ctlrID","65538"
"1","bistDonePin","done"
"1","bistFailPin","pass"
"1","scanOutPin","coresel0"
"1","scanClkPin","tck"
"1","bistClkPin","altcoreclkp"
"1","bistClkSrc","S_CLOCK1A"
"1","bistClkDest","S_POGOPIN"
"1","prePadWidth","3"
"1","pstPadWidth","1"
"1","ctlrIDWidth","5"
"1","portWidth","1"
"1","algoWidth","6"
"1","rgsWidth","8"
"1","rdsWidth","5"
"1","addrWidth","16"
"1","wordWidth","64"
"1","charWidth","8"
"1","diagInitTest","","","MemBistVsnmLV_1_st","MemBistVtripLV_1_st","MemBistVsnmHV_1_st","MemBistVtripHV_1_st","MemBistVreadLV_1_st","MemBistVminNSp_1_st","MemBistVskew3_1_st","MemBistVskew2_1_st","MemBistVskew1_1_st","MemBistVskewPhi_1_st"
"1","numDiag","","","4","4","4","4","23","4","23","23","23","23"
"1","diagPSN","","1","bnrgmxxxg0_rta1xmxxxx_002","bnrgmxxxg0_rta1xmxxxx_002","bnrgmxxxg0_rta1xmxxxx_002","bnrgmxxxg0_rta1xmxxxx_002","pnrgmcxxaa_s4a2xmxxxx_000","bnrgmxxxg0_rta1xmxxxx_002","pnrgmcxxaa_s4a2xmxxxx_000","pnrgmcxxaa_s4a2xmxxxx_000","pnrgmcxxaa_s4a2xmxxxx_000","pnrgmcxxaa_s4a2xmxxxx_000"
"1","diagPSN","","2","bnrgmxxxg0_s1r1xmxxxx_000","bnrgmxxxg0_s1r1xmxxxx_000","bnrgmxxxg0_s1r1xmxxxx_000","bnrgmxxxg0_s1r1xmxxxx_000","pnrgmcxxaa_rta1xmxxxx_002","bnrgmxxxg0_s1r1xmxxxx_000","pnrgmcxxaa_rta1xmxxxx_002","pnrgmcxxaa_rta1xmxxxx_002","pnrgmcxxaa_rta1xmxxxx_002","pnrgmcxxaa_rta1xmxxxx_002"
"1","diagPSN","","3","bnrgmxxxg0_s4aaxmxxxx_000","bnrgmxxxg0_s4aaxmxxxx_000","bnrgmxxxg0_s4aaxmxxxx_000","bnrgmxxxg0_s4aaxmxxxx_000","pnrgmcxxaa_uhd3xmxxxx_000","bnrgmxxxg0_s4aaxmxxxx_000","pnrgmcxxaa_uhd3xmxxxx_000","pnrgmcxxaa_uhd3xmxxxx_000","pnrgmcxxaa_uhd3xmxxxx_000","pnrgmcxxaa_uhd3xmxxxx_000"
"1","diagPSN","","4","bnrgmxxxg0_sdp1xmxxxx_000","bnrgmxxxg0_sdp1xmxxxx_000","bnrgmxxxg0_sdp1xmxxxx_000","bnrgmxxxg0_sdp1xmxxxx_000","pnrgmcxxaa_sdp1xmxxxx_000","bnrgmxxxg0_sdp1xmxxxx_000","pnrgmcxxaa_sdp1xmxxxx_000","pnrgmcxxaa_sdp1xmxxxx_000","pnrgmcxxaa_sdp1xmxxxx_000","pnrgmcxxaa_sdp1xmxxxx_000"
"1","diagPSN","","5","","","","","pnrgmcxxaa_s4a1xmxxxx_000","","pnrgmcxxaa_s4a1xmxxxx_000","pnrgmcxxaa_s4a1xmxxxx_000","pnrgmcxxaa_s4a1xmxxxx_000","pnrgmcxxaa_s4a1xmxxxx_000"
"1","diagPSN","","6","","","","","pnrgmcxxaa_s1r1xmxxxx_000","","pnrgmcxxaa_s1r1xmxxxx_000","pnrgmcxxaa_s1r1xmxxxx_000","pnrgmcxxaa_s1r1xmxxxx_000","pnrgmcxxaa_s1r1xmxxxx_000"
"1","diagPSN","","7","","","","","pnrgmcxxaa_uhd4xmxxxx_000","","pnrgmcxxaa_uhd4xmxxxx_000","pnrgmcxxaa_uhd4xmxxxx_000","pnrgmcxxaa_uhd4xmxxxx_000","pnrgmcxxaa_uhd4xmxxxx_000"
"1","diagPSN","","8","","","","","pnrgmcxxaa_dsp6xmxxxx_000","","pnrgmcxxaa_dsp6xmxxxx_000","pnrgmcxxaa_dsp6xmxxxx_000","pnrgmcxxaa_dsp6xmxxxx_000","pnrgmcxxaa_dsp6xmxxxx_000"
"1","diagPSN","","9","","","","","pnrgmcxxaa_dsp3xmxxxx_000","","pnrgmcxxaa_dsp3xmxxxx_000","pnrgmcxxaa_dsp3xmxxxx_000","pnrgmcxxaa_dsp3xmxxxx_000","pnrgmcxxaa_dsp3xmxxxx_000"
