"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"PinShortsTest_st_nIForce","I_LB_SHORT_PINS","2590000","-2","-2","-2","-2","-2","GE","LE","-0.1","-0.1","-0.1","-0.1","-0.1","V","10","F_OS_SHRT_PIN","8","F_OS","bad","no","no",""
"PinShortsTest_st_nIForce","I_LB_SHRT_EVEN","2590100","-2","-2","-2","-2","-2","GE","LE","-0.1","-0.1","-0.1","-0.1","-0.1","V","10","F_OS_SHRT_PIN","8","F_OS","bad","no","no",""
"PinShortsTest_st_nIForce","I_LB_SHRT_ODD","2590101","-2","-2","-2","-2","-2","GE","LE","-0.1","-0.1","-0.1","-0.1","-0.1","V","10","F_OS_SHRT_PIN","8","F_OS","bad","no","no",""
"PinShortsTestPerPin_st_nIForce","I_LB_SHRT_EVEN","2590200","-2","-2","-2","-2","-2","GE","LE","-0.1","-0.1","-0.1","-0.1","-0.1","V","10","F_OS_SHRT_PIN","8","F_OS","bad","no","no",""
"PinShortsTestPerPin_st_nIForce","I_LB_SHRT_ODD","2590201","-2","-2","-2","-2","-2","GE","LE","-0.1","-0.1","-0.1","-0.1","-0.1","V","10","F_OS_SHRT_PIN","8","F_OS","bad","no","no",""
"PinOpensTest_st_nIForce","I_LB_OPEN_PINS","2590001","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS","2590210","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS_altcoreclkn","2222597","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS_altcoreclkp","2222598","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS_bootcomplete","2222599","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS_coresel0","2222600","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
"PinOpensTestPerPin_st_nIForce","I_LB_OPEN_PINS_coresel1","2222601","-1.85","-1.85","-1.85","-1.85","-1.85","GE","LE","1","1","1","1","1","V","8","F_OS_OPEN","8","F_OS","bad","no","no",""
