"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_30_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_30_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"NULLDUT_1","O_NULLDUT_IVPAIR01_0p00","8000000","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR01_0p05","8000001","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR01_0p80","8000002","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR01_0p85","8000003","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR02_0p00","8000004","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR02_0p05","8000005","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR02_0p80","8000006","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR02_0p85","8000007","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR03_0p00","8000008","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR03_0p05","8000009","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR03_0p80","8000010","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR03_0p85","8000011","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
"NULLDUT_1","O_NULLDUT_IVPAIR04_0p00","8000012","-25","-25","-25","-25","GE","LE","25","25","25","25","uA","400","NULLDUT_1","8","F_OS","bad","no","yes",""
